comment_score,created_utc,labeled_submission,Sentiment
2,05/12/2024 11:32,BTC,Negative
1,05/12/2024 15:08,BTC,Negative
2,05/12/2024 12:15,BTC,Negative
3,05/12/2024 10:04,BTC,Negative
3,05/12/2024 13:08,BTC,Negative
1,05/12/2024 11:45,BTC,Negative
4,05/12/2024 09:55,BTC,Positive
-7,05/12/2024 10:01,BTC,Negative
0,05/12/2024 10:47,BTC,Negative
1,05/12/2024 12:19,BTC,Negative
4,05/12/2024 11:06,BTC,Negative
1,05/12/2024 10:32,BTC,Positive
1,05/12/2024 11:57,BTC,Negative
0,05/12/2024 12:26,BTC,Negative
0,05/12/2024 10:32,BTC,Negative
71,05/12/2024 10:19,BTC,Positive
2,05/12/2024 11:23,BTC,Positive
1,05/12/2024 15:13,BTC,Negative
7,05/12/2024 10:28,BTC,Negative
1,05/12/2024 14:58,BTC,Negative
1,05/12/2024 15:26,BTC,Negative
6,05/12/2024 10:30,BTC,Negative
1,05/12/2024 14:51,BTC,Negative
-3,05/12/2024 11:12,BTC,Negative
2,05/12/2024 11:46,BTC,Negative
2,05/12/2024 13:10,BTC,Positive
41,05/12/2024 10:25,BTC,Negative
4,05/12/2024 10:38,BTC,Positive
1,05/12/2024 14:55,BTC,Negative
1,05/12/2024 14:35,BTC,Positive
1,05/12/2024 15:00,BTC,Negative
1,05/12/2024 15:27,BTC,Positive
1,05/12/2024 11:21,BTC,Negative
3,05/12/2024 11:15,BTC,Negative
20,05/12/2024 10:29,BTC,Negative
1,05/12/2024 10:40,BTC,Negative
1,05/12/2024 15:29,BTC,Negative
4,05/12/2024 11:25,BTC,Negative
1,05/12/2024 11:27,BTC,Negative
27,05/12/2024 10:31,BTC,Negative
5,05/12/2024 10:55,BTC,Negative
3,05/12/2024 12:07,BTC,Negative
1,05/12/2024 15:30,BTC,Negative
1,05/12/2024 11:38,BTC,Negative
5,05/12/2024 11:51,BTC,Negative
4,05/12/2024 10:35,BTC,Negative
2,05/12/2024 13:46,BTC,Positive
1,05/12/2024 11:42,BTC,Negative
4,05/12/2024 12:14,BTC,Negative
16,05/12/2024 10:37,BTC,Negative
1,05/12/2024 10:51,BTC,Negative
2,05/12/2024 13:50,BTC,Negative
1,05/12/2024 11:53,BTC,Negative
3,05/12/2024 10:54,BTC,Negative
3,05/12/2024 10:59,BTC,Negative
1,05/12/2024 10:38,BTC,Negative
1,05/12/2024 10:47,BTC,Positive
2,05/12/2024 10:55,BTC,Positive
2,05/12/2024 12:01,BTC,Negative
8,05/12/2024 09:55,USDT,Positive
7,05/12/2024 09:26,USDT,Positive
4,05/12/2024 09:22,USDT,Positive
6,05/12/2024 09:06,USDT,Negative
6,05/12/2024 09:08,USDT,Negative
3,05/12/2024 09:15,USDT,Positive
5,05/12/2024 09:07,USDT,Positive
2,05/12/2024 09:20,USDT,Positive
2,05/12/2024 09:51,USDT,Positive
2,05/12/2024 10:53,USDT,Positive
2,05/12/2024 13:29,USDT,Positive
2,05/12/2024 09:14,USDT,Negative
1,05/12/2024 08:42,USDT,Negative
1,05/12/2024 09:41,USDT,Positive
1,05/12/2024 14:40,USDT,Positive
0,05/12/2024 10:12,USDT,Positive
2,05/12/2024 09:34,USDT,Positive
1,05/12/2024 09:56,USDT,Negative
-1,05/12/2024 09:17,USDT,Negative
1,05/12/2024 09:11,USDT,Negative
2,05/12/2024 09:52,USDT,Negative
2,05/12/2024 10:13,USDT,Positive
0,05/12/2024 10:14,USDT,Negative
2,05/12/2024 10:15,USDT,Positive
0,05/12/2024 10:18,USDT,Negative
2,05/12/2024 10:25,USDT,Negative
0,05/12/2024 10:29,USDT,Positive
1,05/12/2024 10:31,USDT,Positive
4,05/12/2024 07:54,BTC,Negative
0,05/12/2024 12:39,BTC,Positive
3,05/12/2024 08:06,BTC,Negative
1,05/12/2024 10:13,BTC,Negative
1,05/12/2024 11:06,BTC,Negative
1,05/12/2024 08:03,BTC,Positive
1,05/12/2024 08:15,BTC,Negative
2,05/12/2024 08:12,BTC,Negative
3,05/12/2024 08:15,BTC,Positive
3,05/12/2024 08:43,BTC,Negative
1,05/12/2024 08:17,BTC,Negative
2,05/12/2024 08:40,BTC,Positive
2,05/12/2024 09:06,BTC,Positive
3,05/12/2024 08:51,BTC,Positive
1,05/12/2024 09:22,BTC,Positive
1,05/12/2024 05:36,XTZ,Positive
1,05/12/2024 06:27,XTZ,Positive
1,05/12/2024 10:04,XTZ,Negative
1,05/12/2024 14:02,XTZ,Negative
35,05/12/2024 03:49,BTC,Positive
13,05/12/2024 04:49,BTC,Positive
17,05/12/2024 04:09,BTC,Positive
25,05/12/2024 03:42,BTC,Positive
5,05/12/2024 03:32,BTC,Positive
3,05/12/2024 07:39,BTC,Negative
3,05/12/2024 03:30,BTC,Negative
4,05/12/2024 04:58,BTC,Positive
2,05/12/2024 03:44,BTC,Positive
2,05/12/2024 04:20,BTC,Negative
1,05/12/2024 03:36,BTC,Negative
1,05/12/2024 05:37,BTC,Positive
2,05/12/2024 06:44,BTC,Negative
1,05/12/2024 09:20,BTC,Negative
1,05/12/2024 11:50,BTC,Negative
1,05/12/2024 12:44,BTC,Negative
1,05/12/2024 05:57,BTC,Positive
4,05/12/2024 04:30,BTC,Positive
3,05/12/2024 05:47,BTC,Positive
1,05/12/2024 10:25,BTC,Negative
1,05/12/2024 06:45,BTC,Positive
1,05/12/2024 07:40,BTC,Positive
1,05/12/2024 11:51,BTC,Positive
2,05/12/2024 06:45,BTC,Positive
1,05/12/2024 11:52,BTC,Positive
1,05/12/2024 07:40,BTC,Positive
9,05/12/2024 03:49,BTC,Positive
-6,05/12/2024 03:47,BTC,Positive
0,05/12/2024 04:33,BTC,Positive
3,05/12/2024 13:40,BTC,Positive
1,05/12/2024 13:41,BTC,Positive
2,05/12/2024 09:50,BTC,Negative
1,05/12/2024 13:42,BTC,Negative
3,05/12/2024 12:52,BTC,Negative
17,05/12/2024 05:23,BTC,Negative
-2,05/12/2024 14:01,BTC,Negative
1149,05/12/2024 02:49,BTC,Positive
269,05/12/2024 03:10,BTC,Negative
201,05/12/2024 02:43,BTC,Positive
99,05/12/2024 02:44,BTC,Positive
167,05/12/2024 02:41,BTC,Positive
83,05/12/2024 02:47,BTC,Positive
21,05/12/2024 02:43,BTC,Negative
45,05/12/2024 02:52,BTC,Positive
12,05/12/2024 02:54,BTC,Positive
28,05/12/2024 02:45,BTC,Negative
18,05/12/2024 03:19,BTC,Negative
27,05/12/2024 02:45,BTC,Positive
16,05/12/2024 02:50,BTC,Positive
13,05/12/2024 02:47,BTC,Positive
6,05/12/2024 02:46,BTC,Positive
6,05/12/2024 02:48,BTC,Positive
7,05/12/2024 03:54,BTC,Negative
7,05/12/2024 03:31,BTC,Positive
4,05/12/2024 02:40,BTC,Positive
4,05/12/2024 02:46,BTC,Negative
4,05/12/2024 02:51,BTC,Positive
8,05/12/2024 03:00,BTC,Positive
4,05/12/2024 02:49,BTC,Positive
4,05/12/2024 02:55,BTC,Negative
4,05/12/2024 03:08,BTC,Negative
5,05/12/2024 04:00,BTC,Negative
3,05/12/2024 04:08,BTC,Negative
16,05/12/2024 02:48,BTC,Positive
6,05/12/2024 02:52,BTC,Positive
3,05/12/2024 02:42,BTC,Negative
3,05/12/2024 02:53,BTC,Positive
3,05/12/2024 02:57,BTC,Negative
3,05/12/2024 03:02,BTC,Positive
3,05/12/2024 03:06,BTC,Positive
3,05/12/2024 03:22,BTC,Negative
3,05/12/2024 04:17,BTC,Negative
4,05/12/2024 02:51,BTC,Positive
6,05/12/2024 02:51,BTC,Positive
3,05/12/2024 02:48,BTC,Positive
3,05/12/2024 02:48,BTC,Positive
5,05/12/2024 03:18,BTC,Negative
2,05/12/2024 02:52,BTC,Positive
2,05/12/2024 02:52,BTC,Positive
2,05/12/2024 02:52,BTC,Positive
2,05/12/2024 02:53,BTC,Positive
2,05/12/2024 02:54,BTC,Positive
2,05/12/2024 02:54,BTC,Positive
2,05/12/2024 02:55,BTC,Positive
2,05/12/2024 02:55,BTC,Positive
2,05/12/2024 02:57,BTC,Positive
2,05/12/2024 02:59,BTC,Positive
2,05/12/2024 03:04,BTC,Positive
2,05/12/2024 03:07,BTC,Negative
2,05/12/2024 03:08,BTC,Negative
2,05/12/2024 03:09,BTC,Positive
2,05/12/2024 03:11,BTC,Positive
2,05/12/2024 03:15,BTC,Negative
2,05/12/2024 03:45,BTC,Positive
2,05/12/2024 04:05,BTC,Positive
2,05/12/2024 04:05,BTC,Negative
2,05/12/2024 04:12,BTC,Positive
2,05/12/2024 04:45,BTC,Negative
2,05/12/2024 04:49,BTC,Negative
2,05/12/2024 04:54,BTC,Negative
2,05/12/2024 04:57,BTC,Negative
2,05/12/2024 06:05,BTC,Positive
2,05/12/2024 06:31,BTC,Negative
2,05/12/2024 06:33,BTC,Positive
2,05/12/2024 13:11,BTC,Negative
3,05/12/2024 02:51,BTC,Positive
2,05/12/2024 02:45,BTC,Negative
2,05/12/2024 02:51,BTC,Positive
1,05/12/2024 02:55,BTC,Positive
1,05/12/2024 02:56,BTC,Positive
1,05/12/2024 02:57,BTC,Positive
1,05/12/2024 02:59,BTC,Positive
1,05/12/2024 03:01,BTC,Positive
1,05/12/2024 03:06,BTC,Negative
1,05/12/2024 03:06,BTC,Positive
1,05/12/2024 03:07,BTC,Negative
1,05/12/2024 03:07,BTC,Positive
1,05/12/2024 03:10,BTC,Positive
1,05/12/2024 03:10,BTC,Negative
1,05/12/2024 03:11,BTC,Positive
1,05/12/2024 03:12,BTC,Negative
1,05/12/2024 03:13,BTC,Positive
1,05/12/2024 03:18,BTC,Negative
1,05/12/2024 03:20,BTC,Positive
1,05/12/2024 03:25,BTC,Positive
1,05/12/2024 03:29,BTC,Negative
1,05/12/2024 03:35,BTC,Positive
1,05/12/2024 03:37,BTC,Positive
1,05/12/2024 03:42,BTC,Negative
1,05/12/2024 03:47,BTC,Positive
1,05/12/2024 03:47,BTC,Negative
1,05/12/2024 04:01,BTC,Positive
1,05/12/2024 04:12,BTC,Negative
1,05/12/2024 04:14,BTC,Negative
1,05/12/2024 04:14,BTC,Positive
1,05/12/2024 04:16,BTC,Negative
1,05/12/2024 04:24,BTC,Positive
1,05/12/2024 04:25,BTC,Positive
1,05/12/2024 04:27,BTC,Negative
1,05/12/2024 04:30,BTC,Negative
1,05/12/2024 04:32,BTC,Negative
1,05/12/2024 04:34,BTC,Positive
1,05/12/2024 04:35,BTC,Positive
1,05/12/2024 04:37,BTC,Positive
1,05/12/2024 04:38,BTC,Negative
1,05/12/2024 04:38,BTC,Positive
1,05/12/2024 04:44,BTC,Positive
1,05/12/2024 04:51,BTC,Positive
1,05/12/2024 04:52,BTC,Negative
1,05/12/2024 04:53,BTC,Negative
1,05/12/2024 05:03,BTC,Negative
1,05/12/2024 05:12,BTC,Negative
1,05/12/2024 05:28,BTC,Negative
1,05/12/2024 05:45,BTC,Positive
1,05/12/2024 06:16,BTC,Positive
1,05/12/2024 06:20,BTC,Positive
1,05/12/2024 06:28,BTC,Negative
1,05/12/2024 06:40,BTC,Positive
1,05/12/2024 06:53,BTC,Negative
1,05/12/2024 06:55,BTC,Positive
1,05/12/2024 07:01,BTC,Positive
1,05/12/2024 07:19,BTC,Positive
1,05/12/2024 07:24,BTC,Positive
1,05/12/2024 07:30,BTC,Positive
1,05/12/2024 07:35,BTC,Positive
1,05/12/2024 07:37,BTC,Positive
1,05/12/2024 07:39,BTC,Positive
1,05/12/2024 07:46,BTC,Negative
1,05/12/2024 08:25,BTC,Negative
1,05/12/2024 08:28,BTC,Positive
1,05/12/2024 08:37,BTC,Positive
1,05/12/2024 09:01,BTC,Negative
1,05/12/2024 09:02,BTC,Positive
1,05/12/2024 09:11,BTC,Negative
1,05/12/2024 09:15,BTC,Negative
1,05/12/2024 09:52,BTC,Positive
1,05/12/2024 09:59,BTC,Negative
1,05/12/2024 10:27,BTC,Negative
1,05/12/2024 10:38,BTC,Negative
1,05/12/2024 10:40,BTC,Negative
1,05/12/2024 10:41,BTC,Negative
1,05/12/2024 10:58,BTC,Negative
1,05/12/2024 11:06,BTC,Negative
1,05/12/2024 11:12,BTC,Negative
1,05/12/2024 11:24,BTC,Negative
1,05/12/2024 11:33,BTC,Negative
1,05/12/2024 11:40,BTC,Positive
1,05/12/2024 11:49,BTC,Positive
1,05/12/2024 11:51,BTC,Negative
1,05/12/2024 12:05,BTC,Negative
1,05/12/2024 12:06,BTC,Negative
1,05/12/2024 12:16,BTC,Positive
1,05/12/2024 12:31,BTC,Negative
1,05/12/2024 12:39,BTC,Negative
1,05/12/2024 12:45,BTC,Negative
1,05/12/2024 12:50,BTC,Positive
1,05/12/2024 13:34,BTC,Negative
1,05/12/2024 14:19,BTC,Positive
1,05/12/2024 14:31,BTC,Negative
1,05/12/2024 14:32,BTC,Positive
1,05/12/2024 14:38,BTC,Positive
1,05/12/2024 14:40,BTC,Positive
1,05/12/2024 14:46,BTC,Negative
1,05/12/2024 15:23,BTC,Positive
1,05/12/2024 15:33,BTC,Negative
1,05/12/2024 03:15,BTC,Negative
1,05/12/2024 04:58,BTC,Positive
1,05/12/2024 11:05,BTC,Negative
0,05/12/2024 03:17,BTC,Positive
0,05/12/2024 04:33,BTC,Negative
0,05/12/2024 04:48,BTC,Negative
0,05/12/2024 05:03,BTC,Negative
0,05/12/2024 05:32,BTC,Negative
0,05/12/2024 05:47,BTC,Positive
0,05/12/2024 06:09,BTC,Positive
-1,05/12/2024 03:46,BTC,Negative
154,05/12/2024 02:50,BTC,Positive
14,05/12/2024 03:12,BTC,Positive
36,05/12/2024 03:00,BTC,Positive
17,05/12/2024 03:51,BTC,Negative
10,05/12/2024 03:02,BTC,Negative
1,05/12/2024 04:01,BTC,Positive
1,05/12/2024 04:36,BTC,Positive
1,05/12/2024 05:44,BTC,Positive
1,05/12/2024 06:06,BTC,Positive
1,05/12/2024 07:15,BTC,Negative
1,05/12/2024 07:28,BTC,Negative
1,05/12/2024 08:30,BTC,Negative
1,05/12/2024 10:05,BTC,Positive
30,05/12/2024 10:13,BTC,Negative
42,05/12/2024 04:09,BTC,Negative
1,05/12/2024 07:33,BTC,Negative
1,05/12/2024 14:04,BTC,Positive
83,05/12/2024 03:41,BTC,Positive
35,05/12/2024 03:21,BTC,Positive
6,05/12/2024 04:26,BTC,Negative
5,05/12/2024 03:32,BTC,Negative
1,05/12/2024 06:26,BTC,Positive
1,05/12/2024 08:51,BTC,Positive
1,05/12/2024 08:24,BTC,Negative
11,05/12/2024 03:06,BTC,Positive
46,05/12/2024 02:46,BTC,Positive
10,05/12/2024 03:09,BTC,Negative
12,05/12/2024 03:42,BTC,Positive
3,05/12/2024 03:14,BTC,Positive
11,05/12/2024 02:44,BTC,Negative
34,05/12/2024 02:53,BTC,Negative
6,05/12/2024 02:56,BTC,Negative
1,05/12/2024 04:31,BTC,Positive
77,05/12/2024 03:07,BTC,Positive
45,05/12/2024 02:46,BTC,Positive
15,05/12/2024 02:51,BTC,Positive
13,05/12/2024 03:23,BTC,Negative
3,05/12/2024 02:56,BTC,Positive
2,05/12/2024 04:07,BTC,Negative
1,05/12/2024 05:50,BTC,Positive
1,05/12/2024 09:18,BTC,Positive
1,05/12/2024 03:21,BTC,Positive
1,05/12/2024 03:44,BTC,Positive
1,05/12/2024 08:50,BTC,Positive
12,05/12/2024 02:51,BTC,Negative
3,05/12/2024 05:41,BTC,Positive
7,05/12/2024 03:06,BTC,Negative
1,05/12/2024 03:48,BTC,Positive
2,05/12/2024 11:08,BTC,Negative
2,05/12/2024 05:55,BTC,Negative
0,05/12/2024 08:57,BTC,Negative
6,05/12/2024 02:55,BTC,Positive
2,05/12/2024 02:53,BTC,Negative
2,05/12/2024 03:07,BTC,Negative
3,05/12/2024 06:36,BTC,Positive
3,05/12/2024 02:52,BTC,Negative
3,05/12/2024 03:13,BTC,Negative
2,05/12/2024 03:14,BTC,Positive
1,05/12/2024 11:35,BTC,Positive
2,05/12/2024 08:57,BTC,Negative
1,05/12/2024 05:49,BTC,Negative
1,05/12/2024 14:21,BTC,Positive
1,05/12/2024 10:38,BTC,Negative
1,05/12/2024 10:41,BTC,Negative
1,05/12/2024 10:41,BTC,Negative
1,05/12/2024 10:58,BTC,Negative
1,05/12/2024 11:06,BTC,Negative
1,05/12/2024 11:25,BTC,Negative
1,05/12/2024 11:33,BTC,Negative
1,05/12/2024 12:05,BTC,Negative
1,05/12/2024 12:31,BTC,Negative
1,05/12/2024 12:39,BTC,Negative
1,05/12/2024 12:45,BTC,Negative
1,05/12/2024 03:25,BTC,Negative
1,05/12/2024 03:28,BTC,Negative
1,05/12/2024 04:04,BTC,Negative
1,05/12/2024 05:40,BTC,Negative
5,05/12/2024 03:24,BTC,Negative
1,05/12/2024 10:04,BTC,Positive
1,05/12/2024 08:59,BTC,Negative
131,05/12/2024 03:40,BTC,Positive
35,05/12/2024 03:08,BTC,Positive
21,05/12/2024 03:19,BTC,Negative
1,05/12/2024 08:56,BTC,Negative
5,05/12/2024 04:54,BTC,Positive
4,05/12/2024 10:25,BTC,Positive
2,05/12/2024 11:10,BTC,Positive
1,05/12/2024 15:28,BTC,Negative
0,05/12/2024 08:47,BTC,Positive
15,05/12/2024 11:03,BTC,Negative
59,05/12/2024 05:55,BTC,Negative
17,05/12/2024 06:12,BTC,Positive
6,05/12/2024 09:39,BTC,Negative
1,05/12/2024 09:57,BTC,Negative
1,05/12/2024 13:43,BTC,Negative
3,05/12/2024 04:57,BTC,Negative
7,05/12/2024 04:45,BTC,Positive
1,05/12/2024 08:56,BTC,Negative
1,05/12/2024 11:38,BTC,Positive
2,05/12/2024 08:40,BTC,Negative
8,05/12/2024 02:58,BTC,Positive
6,05/12/2024 03:13,BTC,Positive
1,05/12/2024 03:31,BTC,Positive
1,05/12/2024 03:43,BTC,Negative
0,05/12/2024 03:00,BTC,Positive
0,05/12/2024 09:34,BTC,Negative
10,05/12/2024 03:13,BTC,Negative
4,05/12/2024 06:27,BTC,Positive
1,05/12/2024 12:22,BTC,Positive
2,05/12/2024 04:04,BTC,Positive
2,05/12/2024 06:12,BTC,Positive
75,05/12/2024 02:56,BTC,Negative
5,05/12/2024 05:09,BTC,Negative
1,05/12/2024 03:09,BTC,Negative
17,05/12/2024 04:27,BTC,Negative
4,05/12/2024 05:47,BTC,Positive
6,05/12/2024 04:05,BTC,Positive
1,05/12/2024 08:54,BTC,Negative
14,05/12/2024 03:00,BTC,Positive
12,05/12/2024 02:54,BTC,Positive
6,05/12/2024 03:13,BTC,Positive
1,05/12/2024 03:20,BTC,Positive
9,05/12/2024 04:07,BTC,Positive
1,05/12/2024 05:49,BTC,Negative
1,05/12/2024 03:22,BTC,Negative
1,05/12/2024 06:11,BTC,Negative
3,05/12/2024 03:12,BTC,Positive
5,05/12/2024 03:12,BTC,Positive
1,05/12/2024 13:31,BTC,Positive
2,05/12/2024 03:09,BTC,Negative
1,05/12/2024 03:15,BTC,Negative
1,05/12/2024 02:52,BTC,Positive
1,05/12/2024 10:03,BTC,Positive
1,05/12/2024 08:20,BTC,Negative
1,05/12/2024 12:33,BTC,Negative
57,05/12/2024 03:56,BTC,Positive
1,05/12/2024 12:10,BTC,Positive
23,05/12/2024 04:16,BTC,Positive
3,05/12/2024 06:13,BTC,Positive
18,05/12/2024 03:24,BTC,Positive
5,05/12/2024 03:30,BTC,Positive
1,05/12/2024 03:32,BTC,Positive
0,05/12/2024 10:02,BTC,Positive
6,05/12/2024 12:41,BTC,Negative
1,05/12/2024 14:59,BTC,Negative
1,05/12/2024 15:30,BTC,Negative
18,05/12/2024 10:19,BTC,Positive
9,05/12/2024 06:14,BTC,Positive
1,05/12/2024 08:52,BTC,Negative
-1,05/12/2024 07:45,BTC,Negative
1,05/12/2024 15:40,BTC,Negative
7,05/12/2024 05:07,BTC,Negative
4,05/12/2024 07:35,BTC,Negative
2,05/12/2024 08:08,BTC,Positive
1,05/12/2024 08:58,BTC,Negative
2,05/12/2024 04:20,BTC,Positive
1,05/12/2024 08:47,BTC,Negative
1,05/12/2024 12:13,BTC,Negative
